Destination,area_code,value,Year
Abashiri-shi,1211,4022,2008
Abashiri-shi,1211,4335,2009
Abashiri-shi,1211,3987,2010
Abashiri-shi,1211,3614,2011
Abashiri-shi,1211,3679,2012
Abashiri-shi,1211,3651,2013
Abashiri-shi,1211,3690,2014
Abashiri-shi,1211,3617,2015
Abashiri-shi,1211,3641,2016
Abashiri-shi,1211,3245,2017
Abashiri-shi,1211,3292,2018
Abashiri-shi,1211,3216,2019
Abashiri-shi,1211,3376,2020
Abashiri-shi,1211,3085,2021
Abashiri-shi,1211,3150,2022
Abashiri-shi,1211,3023,2023
Abashiri-shi,1211,2798,2024
Abashiri-shicho,1540,9218,2008
Abashiri-shicho,1540,8578,2009
Abeno-ku,27119,11281,2008
Abeno-ku,27119,11284,2009
Abeno-ku,27119,11777,2010
Abeno-ku,27119,12413,2011
Abeno-ku,27119,12223,2012
Abeno-ku,27119,14134,2013
Abeno-ku,27119,12125,2014
Abeno-ku,27119,12680,2015
Abeno-ku,27119,11633,2016
Abeno-ku,27119,11733,2017
Abeno-ku,27119,14169,2018
Abeno-ku,27119,15482,2019
Abeno-ku,27119,13844,2020
Abeno-ku,27119,13030,2021
Abeno-ku,27119,13931,2022
Abeno-ku,27119,13609,2023
Abeno-ku,27119,15839,2024
Abiko-shi,12222,13696,2008
Abiko-shi,12222,11464,2009
Abiko-shi,12222,10848,2010
Abiko-shi,12222,9714,2011
Abiko-shi,12222,9143,2012
Abiko-shi,12222,9303,2013
Abiko-shi,12222,9451,2014
Abiko-shi,12222,9439,2015
Abiko-shi,12222,9211,2016
Abiko-shi,12222,9347,2017
Abiko-shi,12222,11477,2018
Abiko-shi,12222,11845,2019
Abiko-shi,12222,8954,2020
Abiko-shi,12222,9540,2021
Abiko-shi,12222,9506,2022
Abiko-shi,12222,9771,2023
Abiko-shi,12222,10000,2024
Abira-cho,1585,796,2008
Abira-cho,1585,881,2009
Abira-cho,1585,723,2010
Abira-cho,1585,760,2011
Abira-cho,1585,856,2012
Abira-cho,1585,799,2013
Abira-cho,1585,662,2014
Abira-cho,1585,820,2015
Abira-cho,1585,627,2016
Abira-cho,1585,800,2017
Abira-cho,1585,869,2018
Abira-cho,1585,692,2019
Abira-cho,1585,623,2020
Abira-cho,1585,580,2021
Abira-cho,1585,821,2022
Abira-cho,1585,856,2023
Abira-cho,1585,794,2024
Abu-cho,35502,198,2008
Abu-cho,35502,242,2009
Abu-cho,35502,256,2010
Abu-cho,35502,251,2011
Abu-cho,35502,182,2012
Abu-cho,35502,230,2013
Abu-cho,35502,177,2014
Abu-cho,35502,212,2015
Abu-cho,35502,181,2016
Abu-cho,35502,165,2017
Abu-cho,35502,155,2018
Abu-cho,35502,207,2019
Abu-cho,35502,180,2020
Abu-cho,35502,176,2021
Abu-cho,35502,184,2022
Abu-cho,35502,184,2023
Abu-cho,35502,128,2024
Abu-gun,35500,496,2008
Abu-gun,35500,601,2009
Abu-gun,35500,256,2010
Abu-gun,35500,251,2011
Abu-gun,35500,182,2012
Abu-gun,35500,230,2013
Abu-gun,35500,177,2014
Abu-gun,35500,212,2015
Abu-gun,35500,181,2016
Abu-gun,35500,165,2017
Abu-gun,35500,155,2018
Abu-gun,35500,207,2019
Abu-gun,35500,180,2020
Abu-gun,35500,176,2021
Abu-gun,35500,184,2022
Abu-gun,35500,184,2023
Abu-gun,35500,128,2024
Achi-mura,20407,402,2008
Achi-mura,20407,401,2009
Achi-mura,20407,440,2010
Achi-mura,20407,400,2011
Achi-mura,20407,447,2012
Achi-mura,20407,406,2013
Achi-mura,20407,410,2014
Achi-mura,20407,326,2015
Achi-mura,20407,400,2016
Achi-mura,20407,357,2017
Achi-mura,20407,342,2018
Achi-mura,20407,398,2019
Achi-mura,20407,304,2020
Achi-mura,20407,353,2021
Achi-mura,20407,308,2022
Achi-mura,20407,344,2023
Achi-mura,20407,343,2024
Adachi-gun,7320,551,2008
Adachi-gun,7320,523,2009
Adachi-gun,7320,551,2010
Adachi-gun,7320,577,2011
Adachi-gun,7320,384,2012
Adachi-gun,7320,429,2013
Adachi-gun,7320,578,2014
Adachi-gun,7320,550,2015
Adachi-gun,7320,644,2016
Adachi-gun,7320,677,2017
Adachi-gun,7320,775,2018
Adachi-gun,7320,689,2019
