Population_2020,Population_2015,Population_2010,Population_2005,Area_Codes,Name(Japanese),Merged,Established after 2005,prefecture_romaji,latitude,longitude
1676.0,1843.0,1657.0,1796.0,47382.0,与那国町,0,0,Okinawa Ken,24.4666666667,123.0
3942.0,3998.0,3859.0,4192.0,47381.0,竹富町,0,0,Okinawa Ken,24.3333333333,124.15
1058.0,1194.0,1231.0,1370.0,47375.0,多良間村,0,0,Okinawa Ken,24.6666666667,124.7
30941.0,29066.0,26681.0,0.0,47362.0,八重瀬町,0,1,Okinawa Ken,26.1166666667,127.7333333333
7192.0,7755.0,8519.0,9177.0,47361.0,久米島町,0,0,Okinawa Ken,26.3333333333,126.8
1322.0,1517.0,1589.0,1762.0,47360.0,伊是名村,0,0,Okinawa Ken,26.9166666667,127.9333333333
1126.0,1238.0,1385.0,1547.0,47359.0,伊平屋村,0,0,Okinawa Ken,27.0333333333,127.9666666667
590.0,629.0,665.0,588.0,47358.0,北大東村,0,0,Okinawa Ken,25.9333333333,131.2833333333
1285.0,1329.0,1442.0,1448.0,47357.0,南大東村,0,0,Okinawa Ken,25.8166666667,131.2166666667
346.0,430.0,452.0,531.0,47356.0,渡名喜村,0,0,Okinawa Ken,26.3666666667,127.1333333333
683.0,759.0,863.0,936.0,47355.0,粟国村,0,0,Okinawa Ken,26.5666666667,127.2166666667
892.0,870.0,865.0,1077.0,47354.0,座間味村,0,0,Okinawa Ken,26.2166666667,127.3
718.0,730.0,760.0,790.0,47353.0,渡嘉敷村,0,0,Okinawa Ken,26.1833333333,127.35
40440.0,37502.0,35244.0,33537.0,47350.0,南風原町,0,0,Okinawa Ken,26.1833333333,127.7166666667
0.0,0.0,0.0,11603.0,47349.0,大里村,1,0,Okinawa Ken,26.17611,127.74453
19695.0,18410.0,16318.0,15343.0,47348.0,与那原町,0,0,Okinawa Ken,26.1833333333,127.75
0.0,0.0,0.0,11456.0,47347.0,佐敷町,1,0,Okinawa Ken,26.16719,127.78775
0.0,0.0,0.0,6024.0,47346.0,知念村,1,0,Okinawa Ken,26.16997,127.82111
0.0,0.0,0.0,10568.0,47345.0,玉城村,1,0,Okinawa Ken,26.14442,127.76692
0.0,0.0,0.0,8035.0,47344.0,具志頭村,1,0,Okinawa Ken,26.12189,127.74267
0.0,0.0,0.0,17086.0,47343.0,東風平町,1,0,Okinawa Ken,26.15047,127.71647
34984.0,34508.0,34766.0,33733.0,47329.0,西原町,0,0,Okinawa Ken,26.2166666667,127.75
22157.0,19454.0,17680.0,15798.0,47328.0,中城村,0,0,Okinawa Ken,26.2666666667,127.7833333333
17969.0,16148.0,15951.0,15790.0,47327.0,北中城村,0,0,Okinawa Ken,26.3,127.7833333333
28201.0,28308.0,27264.0,26848.0,47326.0,北谷町,0,0,Okinawa Ken,26.3166666667,127.75
13521.0,13685.0,13827.0,13629.0,47325.0,嘉手納町,0,0,Okinawa Ken,26.35,127.75
